HEDGE_ESTIMATOR,ADAPTIVE_START_DAY,POSITION_SIZE,OPTIMIZATION_TARGET,STATIC_PARAMS.HEDGE_ESTIMATOR,STATIC_PARAMS.ZSCORE_LOOKBACK,STATIC_PARAMS.ENTRY_THRESHOLD,STATIC_PARAMS.STOP_LOSS_THRESHOLD,STATIC_PARAMS.POSITION_SIZE,STATIC_PARAMS.ADAPTIVE_START_DAY,ADAPTIVE_PARAMS.HEDGE_ESTIMATOR,ADAPTIVE_PARAMS.ZSCORE_LOOKBACK,ADAPTIVE_PARAMS.ENTRY_THRESHOLD,ADAPTIVE_PARAMS.STOP_LOSS_THRESHOLD,ADAPTIVE_PARAMS.POSITION_SIZE,ADAPTIVE_PARAMS.ADAPTIVE_START_DAY,score
lasso,501,10000,STATIC,lasso,100,0.75,3.5,10000,501,lasso,100,0.75,3.5,10000,501,24.354561108747085
lasso,501,10000,STATIC,lasso,100,1.5,2.5,10000,501,lasso,100,1.5,2.5,10000,501,24.339861632704753
ols,501,10000,STATIC,ols,90,0.75,2.5,10000,501,ols,90,0.75,2.5,10000,501,24.32404699691483
ridge,501,10000,STATIC,ridge,90,0.75,2.5,10000,501,ridge,90,0.75,2.5,10000,501,24.32225027694337
bayesian,501,10000,STATIC,bayesian,120,0.5,2.5,10000,501,bayesian,120,0.5,2.5,10000,501,24.29745354391312
bayesian,501,10000,STATIC,bayesian,80,1.5,3.5,10000,501,bayesian,80,1.5,3.5,10000,501,24.265293341574342
ols,501,10000,STATIC,ols,100,0.5,3.0,10000,501,ols,100,0.5,3.0,10000,501,24.264922563906673
lasso,501,10000,STATIC,lasso,90,0.75,2.5,10000,501,lasso,90,0.75,2.5,10000,501,24.25765725973727
ridge,501,10000,STATIC,ridge,80,1.5,4.0,10000,501,ridge,80,1.5,4.0,10000,501,24.20960711885362
ols,501,10000,STATIC,ols,80,1.5,4.0,10000,501,ols,80,1.5,4.0,10000,501,24.207944292905275
bayesian,501,10000,STATIC,bayesian,140,2.25,2.5,10000,501,bayesian,140,2.25,2.5,10000,501,24.179936909205118
ridge,501,10000,STATIC,ridge,110,2.25,4.0,10000,501,ridge,110,2.25,4.0,10000,501,24.179674159850865
ridge,501,10000,STATIC,ridge,110,2.25,3.5,10000,501,ridge,110,2.25,3.5,10000,501,24.179674159850865
ols,501,10000,STATIC,ols,110,2.25,4.0,10000,501,ols,110,2.25,4.0,10000,501,24.17841007437912
ols,501,10000,STATIC,ols,110,2.25,3.5,10000,501,ols,110,2.25,3.5,10000,501,24.17841007437912
lasso,501,10000,STATIC,lasso,120,1.0,3.0,10000,501,lasso,120,1.0,3.0,10000,501,24.154675164474874
ridge,501,10000,STATIC,ridge,140,2.25,2.5,10000,501,ridge,140,2.25,2.5,10000,501,24.14230338643246
ols,501,10000,STATIC,ols,140,2.25,2.5,10000,501,ols,140,2.25,2.5,10000,501,24.139337302111194
lasso,501,10000,STATIC,lasso,80,1.75,3.5,10000,501,lasso,80,1.75,3.5,10000,501,24.134525662518946
ridge,501,10000,STATIC,ridge,130,1.25,2.5,10000,501,ridge,130,1.25,2.5,10000,501,24.127759121914934
lasso,501,10000,STATIC,lasso,120,1.25,3.5,10000,501,lasso,120,1.25,3.5,10000,501,24.127559012502502
